ID_PACIENTE;NOME_PACIENTE;CPF_PACIENTE;RG_PACIENTE
1;João Silva;123.456.789-00;12.345.678-9
2;Maria Oliveira;234.567.890-11;
3;Carlos Souza;345.678.901-22;
4;Ana Pereira;456.789.012-33;
5;Lucas Costa;567.890.123-44;56.789.012-3
6;Fernanda Lima;678.901.234-55;67.890.123-4
7;Rafael Santos;789.012.345-66;78.901.234-5
8;Bruna Fernandes;890.123.456-77;89.012.345-6
9;Gabriel Rocha;;90.123.456-7
10;Juliana Alves;012.345.678-99;01.234.567-8
11;Pedro Cardoso;123.456.789-10;12.345.678-9
12;Camila Martins;234.567.890-21;23.456.789-0
13;Eduardo Mendes;345.678.901-32;34.567.890-1
14;Patricia Gonçalves;456.789.012-43;45.678.901-2
15;Thiago Lima;567.890.123-54;56.789.012-3
16;Aline Ferreira;678.901.234-65;
17;Rodrigo Moreira;789.012.345-76;78.901.234-5
18;Vanessa Costa;890.123.456-87;89.012.345-6
19;André Almeida;901.234.567-98;90.123.456-7
20;Renata Ribeiro;;01.234.567-8
21;Fábio Azevedo;123.456.789-20;12.345.678-9
22;Simone Carvalho;;23.456.789-0
23;Daniel Nogueira;345.678.901-42;34.567.890-1
24;Letícia Moura;456.789.012-53;45.678.901-2
25;Marcelo Barbosa;567.890.123-64;56.789.012-3
26;Marina Souza;678.901.234-75;
27;Felipe Martins;789.012.345-86;
28;Beatriz Santana;;89.012.345-6
29;Jorge Almeida;901.234.567-08;90.123.456-7
30;Larissa Teixeira;012.345.678-19;01.234.567-8
31;Igor Ferreira;123.456.789-30;12.345.678-9
32;Alessandra Cunha;234.567.890-41;23.456.789-0
33;Alexandre Duarte;345.678.901-52;
